id;tsunami;year;month;day;latitude;longitude;focaldepth;magnitude;deaths;country;country_zone
1;;1600;2;19;-16.8;-70.9;20;7.9;;PERU: VOLCAN HUAYNAPUTINA;North
2;;1600;2;28;-16.6;-70.8;20;8.1;;PERU: OMATE;South
3;;1600;9;29;23.5;117.2;;0.7;;CHINA: GUANGDONG PROVINCE;East
4;;1600;11;;14.6;121;;;;PHILIPPINES: MANILA;West
5;;1601;1;16;14.6;121;;;;PHILIPPINES: MANILA;East
6;Yes;1601;9;8;46.8;8.5;;6.2;9;SWITZERLAND;East
7;Yes;1602;2;8;35.1;140.5;;7.2;;JAPAN: BOSO;East
8;;1603;;;18;-92.5;;;;MEXICO: OAXACA, MIXTECA;East
9;;1604;3;;17;-96.3;;;;MEXICO: OAXACA;West
10;Yes;1604;11;24;;;30;8.5;100;PERU: AREQUIPA;East
11;Yes;1604;12;29;25;119.5;;0.8;;CHINA: FUJIAN PROVINCE: OFF COAST;East
12;;1604;12;;-29.9;-71.3;;;;CHILE;East
13;Yes;1604;;;35.5;25.5;;;;GREECE: CRETE;East
14;Yes;1605;2;3;33;134.9;;7.9;;JAPAN: NANKAIDO;East
15;Yes;1605;2;3;33.5;138.5;;7.9;;JAPAN: ENSHUNADA;East
16;;1605;7;13;19.9;110.5;;7.5;2000;CHINA: GUANGDONG PROVINCE;East
17;;1606;11;30;23.6;102.8;;6.5;2000;CHINA: YUNNAN PROVINCE: JIANSHUI;West
18;;1608;1;8;17;-96.3;;;;MEXICO: OAXACA;West
19;Yes;1608;4;20;36.4;50.5;;7.6;;IRAN: GILAN, W MAZANDARAN;East
20;;1608;5;14;42.4;18.7;;;;BALKANS NW: MONTENEGRO;West
21;;1608;7;25;42.4;18.7;;;;BALKANS NW: MONTENEGRO;East
22;;1608;9;15;42.4;18.5;;;;BALKANS NW: MACEDONIA;West
23;;1609;7;12;39.2;99;;7.3;840;CHINA: GANSU: JIUQUAN;South
24;;1609;10;20;-11.9;-77.4;40;8.6;;PERU;North
25;;1609;;;38.6;16.3;;;;ITALY: NICASTRO;West
26;;1610;2;3;8.3;-71.8;;7.9;60;VENEZUELA: LA GRITA,BAILADORES,MERIDA;North
27;;1610;11;29;47.5;7.5;;;;SWITZERLAND;East
28;;1610;11;;17;122;;;;PHILIPPINES: LUZON: E;North
29;;1611;8;25;19.5;-99.1;;;;MEXICO: MEXICO CITY,JALISCO;North
30;;1611;9;9;21.5;111.3;;5.5;2;CHINA: GUANGDONG PROVINCE;South
31;;1611;9;25;19.5;-99.1;;;;MEXICO;South
32;;1611;9;27;37.5;140;;;3700;JAPAN: AIDU;South
33;Yes;1611;12;2;39;144.5;;8.1;;JAPAN: SANRIKU;East
34;;1611;12;9;35.1;58.9;;;;IRAN: DUGHABAD (SE KASHMAR);West
35;;1612;5;16;38.8;20.8;;;;GREECE;North
36;Yes;1612;11;8;35.5;25.5;;;;GREECE: CRETE;North
37;;1613;7;16;37.2;127;;6.3;;SOUTH KOREA: SUWON;West
38;Yes;1613;8;25;38.117;14.783;;5.6;103;ITALY: NASO;East
39;;1613;;;35.3;25.1;;;;GREECE: CRETE: IRAKLION (CANDIA);South
40;;1614;5;4;38.4;-27;;;;AZORES: PRAIA;West
41;;1614;5;24;38.4;-24.1;;;;AZORES: TERCEIRA;West
42;;1614;10;23;37.2;112.5;;6.5;;CHINA: SHAANXI PROVINCE;South
43;Yes;1614;11;26;37.5;138;;7.7;;JAPAN: NIIGATA PREFECTURE;South
44;Yes;1615;6;5;44.9;35.5;;5.7;;UKRAINE: BLACK SEA;West
45;;1615;6;26;35.7;139.7;;6.4;;JAPAN;East
46;;1615;9;8;;;;;;PUERTO RICO;East
47;Yes;1615;9;16;-18.5;-70.35;;7.5;;CHILE: ARICA;North
48;;1616;3;;46.8;8.4;;;;SWITZERLAND;North
49;Yes;1616;9;9;38.1;142;;0.7;;JAPAN: HONSHU: MIYAGI PREFECTURE;West
50;Yes;1616;12;6;39;144.5;;7.5;;JAPAN: SANRIKU;South
51;;1616;;;36.1;37.1;;;;SYRIA: HALAB (ALEPPO);South
52;;1618;5;20;37;111.9;;6.5;;CHINA: SHANXI PROVINCE;South
53;;1618;5;26;18.9;72.9;;;2000;INDIA: BOMBAY;West
54;;1618;6;18;43.6;7.3;;;;FRANCE: DURANUS,COARAZE,ROQUESPERVIERA,SAORGE;South
55;;1618;8;25;46.3;9.5;;;;SWITZERLAND;East
56;;1618;12;19;35;58;;;800;IRAN: DUGHABAD,KHORASAN;East
57;;1619;2;13;17;-96.3;;;;MEXICO: OAXACA;East
58;;1619;2;14;-7.941;-79.038;40;8.6;350;PERU: TRUJILLO, PIURA, SANTA;South
59;Yes;1619;5;1;32.5;130.6;;6.4;;YAYesSHIRO, JAPAN;West
60;;1619;11;30;18.2;121.6;;;;PHILIPPINES: N LUZON: ILOCOS PROV,ZAGAIAN PROV;West
61;;1619;;;52.3;14.6;;;;GERMANY: FRANKFURT;South
62;;1620;;;10.8;122.5;;;;PHILIPPINES: PANAY,ILOILO,CAPIZ;South
63;;1620;;;40.9;71.4;6;5.8;;UZBEKISTAN: AKHSY;North
64;;1621;3;;39.5;116.7;;5.5;;CHINA: HEBEI PROVINCE;South
65;;1621;5;2;8.6;-79.3;;;;PANAMA: PANAMA;West
66;Yes;1622;5;5;37.5;21;;;;GREECE: S;West
